VB,VBZ,VBG,VBD,VBN,OR,prefix.class,functional,comments
SELL,SELLS,SELLING,SOLD,SOLD,SELLED,,FALSE,
SEND,SENDS,SENDING,SENT,SENT,SENDED,,FALSE,
SET,SETS,SETTING,SET,SET,SETTED,SET,FALSE,
SHAKE,SHAKES,SHAKING,SHOOK,SHAKEN,SHAKED,,FALSE,
SHOOT,SHOOTS,SHOOTING,SHOT,SHOT,SHOOTED,,FALSE,
SHRINK,SHRINKS,SHRINKING,SHRUNK,SHRUNK,SHRINKED,,FALSE,
SHUT,SHUTS,SHUTTING,SHUT,SHUT,SHUTTED,,FALSE,
SINK,SINKS,SINKING,SANK,SUNK,SINKED,,FALSE,
SING,SINGS,SINGING,SANG,SUNG,SINGED,,FALSE,
SIT,SITS,SITTING,SIT,SAT,SITTED,,FALSE,"note also ""singe""-""singed"""
SLAY,SLAYS,SLAYING,SLEW,SLAIN,SLAYED,,FALSE,
SLEEP,SLEEPS,SLEEPING,SLEPT,SLEPT,SLEEPED,,FALSE,
SLIDE,SLIDES,SLIDING,SLID,SLID,SLIDED,,FALSE,
SLING,SLINGS,SLINGING,SLUNG,SLUNG,SLINGED,,FALSE,
SLIT,SLITS,SLITTING,SLIT,SLIT,SLITTED,,FALSE,
SMITE,SMITES,SMITING,SMOTE,SMITTEN,SMITED,,FALSE,
SPEAK,SPEAKS,SPEAKING,SPOKE,SPOKEN,SPEAKED,,FALSE,
SPEND,SPENDS,SPENDING,SPENT,SPENT,SPENDED,,FALSE,
SPIN,SPINS,SPINNING,SPUN,SPUN,SPINNED,,FALSE,
SPIT,SPITS,SPITTING,SPIT,SPIT,SPITTED,,FALSE,
SPLIT,SPLITS,SPLITTING,SPLIT,SPLIT,SPLITTED,,FALSE,also “spat” as VBD=VBN
SPREAD,SPREADS,SPREADING,SPREAD,SPREAD,SPREADED,,FALSE,
SPRING,SPRINGS,SPRINGING,SPRUNG,SPRUNG,SPRINGED,,FALSE,
STAND,STANDS,STANDING,STOOD,STOOD,STANDED,STAND,FALSE,
STEAL,STEALS,STEALING,STOLE,STOLEN,STEALED,,FALSE,
STICK,STICKS,STICKING,STUCK,STUCK,STICKED,,FALSE,
STING,STINGS,STINGING,STUNG,STUNG,STINGED,,FALSE,
STINK,STINKS,STINKING,STUNK,STUNK,STINKED,,FALSE,
STRING,STRINGS,STRINGING,STRUNG,STRUNG,STRINGED,,FALSE,
