"corpus","utterance"
"tardif","it's Mrs Mallard"
"tardif","it's a duck"
"tardif","quack quack quack"
"tardif","duck duck duck duck duck"
"tardif","uhhuh"
"tardif","this"
"tardif","telephone hello"
"tardif","you gonna say hello to somebody"
"tardif","uhhuh"
"tardif","little dinosaur"
"tardif","uhhuh"
"tardif","is he like a triceratops"
"tardif","you want to flip his switch"
"tardif","you like that"
"tardif","it's a little bit loud"
"tardif","you like it better quiet"
"tardif","you like him quie"
"tardif","you wanna see"
"tardif","what is it that made him make that noise"
"tardif","uhhuh"
"tardif","this switch"
"tardif","is that funny or scary"
"tardif","should I turn it off"
"tardif","hmm it's a telephone"
"tardif","ya gonna call granny"
"tardif","who's on the phone"
"tardif","is it da"
"tardif","hmm"
"tardif","is it daddy"
"tardif","you wanna talk to daddy"
"tardif","yo hi daddy daddy daddy"
"tardif","hi"
"tardif","yeah does that come up"
"tardif","does this come up or is it just decoration"
"tardif","ha"
"tardif","it"
"tardif","you like that don't you"
"tardif","we should have a phone like this for you at home"
"tardif","kiddie craft"
"tardif","wanna talk on the phone"
"tardif","no"
"tardif","ya don't wanna say hi to daddy"
"tardif","hi"
"tardif","uh"
"tardif","is it stuck"
"tardif","there you go"
"tardif","wanna push the buttons"
"tardif","uh huh"
"tardif","I know it squeaks"
"tardif","that way"
"tardif","the buttons push"
"tardif","the beads go across"
"tardif","and they go in your mouth"
"tardif","uh huh"
"tardif","does that feel good on your new tooth"
"tardif","you like that"
"tardif","does it make you laugh"
"tardif","wanna turn it off"
"tardif","oh it got all quiet"
"tardif","let's see what that does"
"tardif","oh"
"tardif","okay"
"tardif","that's what those do"
"tardif","mhm"
"tardif","oh"
"tardif","that's a great sound"
"tardif","you like that"
"tardif","is that pretty neat"
"tardif","uh huh"
"tardif","you just climb up on the table"
"tardif","pushing down"
"tardif","and let go"
"tardif","you like that huh"
"tardif","oh in your lap"
"tardif","you wanna put him on the floor and let go"
"tardif","you"
"tardif","wanna bring him back"
"tardif","I'm glad they made these chairs for two hmm"
"tardif","comfy"
"tardif","oh we crashed"
"tardif","he goes fast doesn't he"
"tardif","so is this your favorite toy this time"
"tardif","the frog is an absolute nothing huh"
"tardif","hi"
"tardif","csay"
"tardif","hi daddy daddy"
"tardif","oh there's your froggie again"
"tardif","yeah she left him here huh"
"tardif","left it on purpose"
"tardif","uh oh"
"tardif","hi daddy"
"tardif","it's upside down"
"tardif","that's okay"
"tardif","dad'll still here ya"
"tardif","you like having music in the background hmm"
"tardif","didn't finish the phrase"
"tardif","well this is a new technique"
"tardif","uh oh"
"tardif","that was a little loud huh"
"tardif","kid tested"
"tardif","wanna flip his switch"
"tardif","what"
"tardif","uh ya got me"
"tardif","no not for you for mom"
"tardif","mhm"
"tardif","yeah for mom"
"tardif","oh"
"tardif","there goes your dinosaur"
"tardif","can you go get it"
"tardif","uh oh"
"tardif","uh oh"
"tardif","thank"
"tardif","thank sweetie"
"tardif","he landed in the box"
"tardif","hi"
"tardif","see how this goes"
"tardif","oh yes"
"tardif","a skill nobody needs any more"
"tardif","Julia this one moves when you pull it"
"tardif","watch his eyes"
"tardif","you like that"
"tardif","okay"
"tardif","it was just an idea"
"tardif","mhm"
"tardif","mhm"
"tardif","oh that's great"
"tardif","that's beautiful"
"tardif","would you like to sit with me"
"tardif","I thought so"
"tardif","blocks uhhuh"
"tardif","there's more"
"tardif","blocks y"
"tardif","and you do a great job stacking them"
"tardif","can he ride his motorcycle into the blocks"
"tardif","he falls over"
"tardif","did you say thank Rachel"
"tardif","uh"
"tardif","she'll"
"tardif","she'll be back in a little bit"
"tardif","she'll be back in a little bit"
"tardif","you could do something radical"
"tardif","y"
"tardif","oh there you go"
"tardif","there you go big girl"
"tardif","you peeker sneaker"
"tardif","that's not for us"
"tardif","nah you wanna peek"
"tardif","I know"
"tardif","you're a peeker sneaker"
"tardif","what"
"tardif","daddy would peek"
"tardif","ts ts ts ts"
"tardif","tacky"
"tardif","tacky"
"tardif","tacky y"
"tardif","quack quack"
"tardif","uh"
"tardif","this one might say quack quack"
"tardif","if his beak were rounded"
"tardif","you have a kiss for him"
"tardif","oh thank thank"
"tardif","uhmmuyah"
"tardif","kiss you back"
"tardif","uhmuyah"
"tardif","kiss you back"
"tardif","where ya going"
"tardif","uhhuh"
"tardif","good work"
"tardif","what else"
"tardif","another blue one"
"tardif","great"
"tardif","are there any more blue ones"
"tardif","het"
"tardif","what"
"tardif","green one y"
"tardif","oh you're brave"
"tardif","oh you're brave"
"tardif","ah"
"tardif","try it again"
"tardif","ah you wild woman"
"tardif","can you get it"
"tardif","good job"
"tardif","thank"
"tardif","thanks for pickin that up"
"tardif","we are so neat and tidy aren't we"
"tardif","hi"
"tardif","can you see through that window"
"tardif","hi"
"tardif","peeker sneaker"
"tardif","daddy would peek"
"tardif","I know you told me that"
"tardif","any more blue blocks to put on there"
"tardif","uhhuh"
"tardif","where you gonna put the green one"
"tardif","zibit"
"tardif","haha"
"tardif","are you gonna chew on it"
"tardif","uhhuh"
"tardif","haha haha"
"tardif","haha"
"tardif","Julia are you teething"
"tardif","huh"
"tardif","are you teething"
"tardif","did you get new teeth"
"tardif","y"
"tardif","go for it"
"tardif","need some help"
"tardif","y"
"tardif","you got them all"
"tardif","one"
"tardif","ssh"
"tardif","hi"
"tardif","haha haha"
"tardif","you're too cute"
"tardif","oh"
"tardif","you okay"
"tardif","no damage done"
"tardif","you did hit your head"
"tardif","I thought so"
"tardif","ow"
"tardif","ow"
"tardif","what is that"
"tardif","is that a funny wall"
"tardif","y"
"tardif","that's kind of different"
"tardif","ow"
"tardif","does it need a kiss"
"tardif","does it need a nap"
"tardif","no"
"tardif","go nighty night"
"tardif","it's a tired baby"
"tardif","come on up here"
"tardif","no"
"tardif","we're not going out there sweetie"
"tardif","Julia"
"tardif","Julia"
"tardif","thank"
"tardif","come"
"tardif","come here sweets"
"tardif","come on over here"
"tardif","wanna play with the blocks some more"
"tardif","you were doing such a good job"
"tardif","I thought you were going to make something"
"tardif","you dumped them all out"
"tardif","you wanna be a race car driver"
"tardif","it doesn't open does it"
"tardif","it doesn't open"
"tardif","what"
"tardif","okay"
"tardif","daddy"
"tardif","ear"
"tardif","no ear huh"
"tardif","ear went bye"
"tardif","we left them at home"
"tardif","is it home with daddy and sister"
"tardif","uhhuh"
"tardif","leave that alone"
"tardif","thank"
"tardif","excuse me"
"tardif","these are some great colors aren't they"
"tardif","not quite fluorescent"
"tardif","pretty spiffy"
"tardif","uhhuh"
"tardif","what"
"tardif","what"
"tardif","it doesn't open"
"tardif","I"
"tardif","bye bye"
"tardif","who's bye bye"
"tardif","go bye bye in the car"
"tardif","uh oh"
"tardif","thank"
"tardif","thank big girl"
"tardif","what"
"tardif","you like that"
"tardif","is that pretty spiffy"
"tardif","blocks"
"tardif","lots_of blocks huh"
"tardif","ah"
"tardif","aw what a mess"
"tardif","what a mess"
"tardif","yeah"
"tardif","can you pick up the pieces"
"tardif","there's another one"
"tardif","uhhuh"
"tardif","put back in the box"
"tardif","sure"
"tardif","wanna bring it up here"
"tardif","bring it up and put it on the table"
"tardif","thank"
"tardif","don't have_to"
"tardif","put it back in the box"
"tardif","alright"
"tardif","thank"
"tardif","haye"
"tardif","good xxx"
"tardif","yeah"
"tardif","and you are putting everything in your mouth"
"tardif","good work"
"tardif","uh hoo"
"tardif","you missed"
"tardif","try it again"
"tardif","there ya go"
"tardif","uh"
"tardif","Julia almost went in the box"
"tardif","was this a Julia in the box"
"tardif","almost"
"tardif","you want a sit"
"tardif","you want to put your chair away"
"tardif","want some help"
"tardif","want me to move to get up"
"tardif","yes Mame"
"tardif","you want to push the chair in"
"tardif","cleanin up"
"tardif","we're going to need to run the sweeper too"
"tardif","go ahead"
"tardif","uhhuh"
"tardif","try it again"
"tardif","there ya go"
"tardif","good enough"
"tardif","that's perfect"
"tardif","thank"
"tardif","yeah"
"tardif","Julia you're subtle"
"tardif","you're really subtle"
"tardif","honey"
"tardif","we're not going to leave yet"
"tardif","no"
"tardif","we're not going"
"tardif","come on let's have a seat"
"tardif","come"
"tardif","let's have a seat"
"tardif","okay"
"tardif","I'll take this one"
"tardif","ya going to come over here and work with me"
"tardif","our blocks are all square aren't they"
"tardif","we don't have any blocks like this"
"tardif","oblong"
"tardif","round"
"tardif","oversized"
"tardif","there"
"tardif","you got some more"
"tardif","thank"
"tardif","oops crumbs on the floor"
"tardif","Julia Julia what shall we do with you"
"tardif","what"
"tardif","now what"
"tardif","move"
"tardif","stand up"
"tardif","tell mom stand up"
"tardif","hahaha"
"tardif","oh Julia"
"tardif","the green frog's not here"
"tardif","aren't you bummed"
"tardif","there's a little chickie"
"tardif","peep peep peep"
"tardif","peep peep peep"
"tardif","where is he"
"tardif","peep peep peep"
"tardif","ah"
"tardif","there he is"
"tardif","did he hide"
"tardif","peekaboo"
"tardif","peekaboo"
"tardif","peeka"
"tardif","he was peeking at you from under the table"
"tardif","ah peekaboo"
"tardif","xxx"
"tardif","duck"
"tardif","huh what's this"
"tardif","shoes"
"tardif","mouse"
"tardif","what's that"
"tardif","huh"
"tardif","look at those cool pictures"
"tardif","what is that"
"tardif","you gonna come over and sit on mum's lap"
"tardif","we'll read a book"
"tardif","hmm"
"tardif","no it doesn't come apart"
"tardif","I don't think"
"tardif","at least it's not supposed to"
"tardif","come"
"tardif","come"
"tardif","oh you want to do it yourself"
"tardif","come and sit in your chair"
"tardif","okay"
"tardif","there ya go"
"tardif","oop don't tear the book"
"tardif","no no no"
"tardif","don't tear the book"
"tardif","no we're not supposed to take the book apart"
"tardif","read it"
"tardif","dinosaur"
"tardif","mouse"
"tardif","what's this"
"tardif","comb"
"tardif","brush your hair"
"tardif","that what that is"
"tardif","yeah"
"tardif","it doesn't come out does it"
"tardif","picture"
"tardif","car"
"tardif","huh what's that"
"tardif","apple"
"tardif","doggie"
"tardif","boat"
"tardif","look at the cow"
"tardif","what does the cow say"
"tardif","no the cow doesn't say neh"
"tardif","moo"
"tardif","what's the cow say"
"tardif","not neh"
"tardif","a horse says neh"
"tardif","well it's pages"
"tardif","but you're not supposed to take it apart"
"tardif","look at this"
"tardif","hat"
"tardif","mitten"
"tardif","frog"
"tardif","bug"
"tardif","boat"
"tardif","what's a cow say"
"tardif","no the cow says moo"
"tardif","pencil"
"tardif","motorcycle"
"tardif","mushrooms"
"tardif","chair"
"tardif","doll"
"tardif","teapot"
"tardif","doggie"
"tardif","what's the doggie say"
