"Corpus","Utterance"
"brown","do you hear a horn playing"
"brown","I don't hear a horn"
"brown","is there a horn on there"
"brown","did he like the water"
"brown","what do you see in there"
"brown","where does the ladder go"
"brown","can you put it on"
"brown","can you put them in there"
"brown","I thought you couldn't do it"
"brown","that's no ladder for that"
"brown","shall I put this back there"
"brown","you didn't watch where you were going"
"brown","you read your paper and I'll read mine"
"brown","mine paper"
"brown","this is my paper here"
"brown","alright it's yours"
"brown","are you going to say goodbye"
"brown","he's going out"
"brown","would you like some soup"
"brown","what kind of soup"
"brown","well you told her to sit there"
"brown","that's the stool I use when I wash dishes"
"brown","minestrone"
"brown","what's that"
"brown","Mommy's tea"
"brown","what are you doing Adam"
"brown","what do you want a napkin for"
"brown","is it sunny outside"
"brown","did you see the sun"
"brown","is that a lady"
"brown","is it hot"
"brown","you can't reach it"
"brown","put water in it"
"brown","Adam drive record"
"brown","where's your truck going"
"brown","no there's your paper"
"brown","oh doggie write paper"
"brown","that's a smart doggie"
"brown","what did the doggie write"
"brown","what is that"
"brown","that's a hole"
"brown","what did you see in the park this morning"
"brown","oh climb"
"brown","what did he climb"
"brown","was he a big kitty or was he a little kitty"
"brown","no big kitty"
"brown","do you want to write on here"
"brown","Daddy went to school"
"brown","car broke"
"brown","those are her feet"
"brown","how many feet does she have"
"brown","how many feet do you have"
"brown","how many feet does Mr"
"brown","Cromer have"
"brown","what"
"brown","Catherine stay tonight"
"brown","no Mommy is going to stay tonight"
"brown","yes Adam will stay tonight too"
"brown","who"
"brown","Howe"
"brown","no Howe won't stay tonight"
"brown","no there's no fire back there"
"brown","you drawing a kitty"
"brown","Mommy"
"brown","Adam right there"
"brown","what does Daddy say"
"brown","circle"
"brown","write circle"
"brown","bumble bee"
"brown","where is he"
"brown","why don't you write that"
"brown","thank"
"brown","is that the bumble bee"
"brown","do you want to read a book"
"brown","who is this"
"brown","Donald_Duck go"
"brown","I don't know"
"brown","did you look in your basket"
"brown","part"
"brown","oh his head"
"brown","oh that's been lost a long time"
"brown","can you go with your bike"
"brown","look a trailer"
"brown","what are you going to pull"
"brown","pull Adam's bike"
"brown","no don't take his head off"
"brown","leave him on there so he can drive it"
"brown","yes his head is off"
"brown","do you have a comb"
"brown","goat"
"brown","is that a piggie"
"brown","I can't see"
"brown","no I can't see"
"brown","Bozo"
"brown","what"
"brown","where's a ladder"
"brown","circus"
"brown","circus what"
"brown","acrobat"
"brown","that's the tattooed man"
"brown","tattooed man"
"brown","tattooed man"
"brown","may I sit beside you"
"brown","Judy and Buzz"
"brown","that's a couple we know"
"brown","apple mouth"
"brown","you had an apple when you got up from your nap"
"brown","what's that"
"brown","Adam want to close the box"
"brown","do you want paper"
"brown","whose brief case is that"
"brown","is that part of the game"
"brown","what is that"
"brown","oh pin game"
"brown","John who"
"brown","let's see"
"brown","John Buzzhart"
"brown","Adam you don't tell him what to write"
"brown","what's your Daddy's name"
"brown","Daddy's all gone"
"brown","what's his name"
"brown","John Buzzhart"
"brown","sock"
"brown","don't sit on that"
"brown","here's your shoe"
"brown","no Mommy what"
"brown","no John Buzzhart"
"brown","what kind of game"
"brown","Babar"
"brown","which one"
"brown","oh shave a pig"
"brown","that one"
"brown","Bozo"
"brown","you haven't seen Bozo in a long time have you"
"brown","are you sitting with me"
"brown","oh you found bunny"
"brown","that's David's Bunny_Rabbit"
"brown","yes I remember David"
"brown","do you remember David"
"brown","no not her shoe"
"brown","write on the paper"
"brown","what"
"brown","write on his shoe"
"brown","no you can't write on Mr Cromer's show"
"brown","no"
"brown","what is that"
"brown","whenever there's a hill to climb"
"brown","he sticks to me like"
"brown","and scares away"
"brown","down the"
"brown","with a shower"
"brown","yes that does look like rain falling"
"brown","now I'm a copy cat just like"
"brown","just like you"
"brown","yes"
"brown","build a castle out of"
"brown","with his"
"brown","like bubble gum and cowboy"
"brown","rings"
"brown","like Adam's horsie"
"brown","yes there's a horse there"
"brown","on his shirt yeah"
"brown","if I bring out my"
"brown","what's that"
"brown","while I catch a"
"brown","what happened"
"brown","he can't copy me"
"brown","to a sycamore"
"brown","and say"
"brown","I don't care"
"brown","oh you're going to give the kitty a ride in your wagon"
"brown","do you have a bite"
"brown","can you tell Mr Cromer about Humpty_Dumpty"
"brown","oh he wants to shake hands"
"brown","kitty's fine"
"brown","what's Daddy's name"
"brown","is that a light"
"brown","is that Adam's shoe"
"brown","camper"
"brown","can you play it"
"brown","you like to walk"
"brown","Mommy can't march"
"brown","no Mommy can't march"
"brown","Catherine"
"brown","maybe Catherine can march"
"brown","no you march"
"brown","Catherine"
"brown","where is Catherine"
"brown","what is that"
"brown","no you write on paper with pencil"
"brown","that's his name"
"brown","whose suitcase is that"
"brown","what does it say"
"brown","spaghetti"
"brown","what is that"
"brown","put the ball where"
"brown","tape recorder"
"brown","no you can't put the ball on the tape recorder"
"brown","over there"
"brown","what"
"brown","what did the ball hit"
"brown","oh hit Mommy's rug"
"brown","where did it go"
"brown","in there"
"brown","is it under the chair"
"brown","I'm afraid you might get stuck"
"brown","see you later again"
"brown","alright"
"brown","Adam whose ball is that"
"brown","no you can't sit on my book"
"brown","what kind is that"
"brown","what is that"
"brown","this is a diesel locomotive"
"brown","can you say that"
"brown","baggage car"
"brown","streamlined coach"
"brown","sleeping car"
"brown","dining car"
"brown","modern steam locomotive"
"brown","electric locomotive"
"brown","switcher"
"brown","rotary snow plow"
"brown","flat car"
"brown","mail car"
"brown","tank car"
"brown","box car"
"brown","caboose"
"brown","do you know what kind this is"
"brown","yes there's a man"
"brown","that's a streamlined coach"
"brown","what kind is that"
"brown","put the baby where"
"brown","where is the baby"
"brown","where is she"
"brown","is she sitting up or is she in the bed or is she outside"
"brown","where is she"
"brown","bed yes"
"brown","this is the sleeping car"
"brown","this is the dining car where you sat"
"brown","this is a box car"
"brown","know what kind that is"
"brown","yes those are men but what are they doing"
"brown","yes those are men but what are they doing"
"brown","do you know what that is"
"brown","men"
"brown","you don't know"
"brown","that's the mail car"
"brown","stop car"
"brown","what is that"
"brown","there's a truck that looks like that"
"brown","tank car"
"brown","and the last car on a train is called the what"
"brown","it's called the caboose"
"brown","caboose"
"brown","what is that"
"brown","it looks like a derrick but it's a crane"
"brown","it's one of the tools that they work with"
"brown","that's an old time train"
"brown","yes that does look like a broom doesn't it"
"brown","where are you going"
"brown","xxx"
"brown","whose is this"
"brown","what are you doing"
"brown","fix bike"
"brown","take what"
"brown","do what"
"brown","paper"
"brown","isn't that pretty"
"brown","d a m"
"brown","he always leaves the a off when he's spelling"
"brown","did you write it already"
"brown","careful don't hit Ursula's feet with the tow truck"
"brown","what happened"
"brown","you hit your knee"
"brown","the tow truck hit your knee"
"brown","locomotive"
"brown","that's a flat car"
"brown","yes that is Donald Duck"
"brown","Pinnochio"
"brown","no"
"brown","that's not Pinnochio"
"brown","those are chipmunks and Mickey_Mouse"
"brown","put your pajamas on"
"brown","put pajamas on and we can ride the car"
"brown","he had his bath before supper and he put his pajamas on and he this last night"
"brown","Daddy's racket"
"brown","you can't play with Daddy's"
"brown","yes this Daddy's"
"brown","where did your racket go"
"brown","yes Daddy's racket"
"brown","whose brief case is this"
"brown","get off her briefcase honey"
"brown","yes u p up"
"brown","get up"
"brown","up"
"brown","up"
"brown","come on"
"brown","no you can't sit on his either"
"brown","you had it all squashed down"
"brown","where's your foot"
"brown","where's the other one"
"brown","oh did you find it"
"brown","how many do you have now"
"brown","two feet"
"brown","how many does Mr Cromer have"
"brown","oh that's the knee"
"brown","do you have elbow"
"brown","what's an elbow"
"brown","oh it's right on your arm"
"brown","it's all squashed"
"brown","all squashed"
"brown","you're stepping on her feet"
"brown","where are you sitting"
"brown","where"
"brown","Joshua's chair or did you say Joshua's shirt"
"brown","foot"
"brown","you're picking the dirt up with your bulldozer"
"brown","the big tow truck's picking Joshua's dirt up"
"brown","write that"
"brown","the tractor can't write"
"brown","the racket can't write either"
"brown","Adam is sitting down"
"brown","pick the dirt up"
"brown","pick the roadgrader up"
"brown","no you don't have a nail in there"
"brown","you just can't pick it up that way"
"brown","he's just sharp"
"brown","Robie's nail"
"brown","pick the glove up"
"brown","pick the paper up"
"brown","rug"
"brown","oh you can see the rug now"
"brown","what color is the rug"
"brown","what"
"brown","what color"
"brown","what color is in the rug"
"brown","is it the same over there"
"brown","green"
"brown","green"
"brown","is it the same color everywhere"
"brown","what other color is in it"
"brown","green and what"
"brown","well what did you hit"
"brown","you hit your shoulder"
"brown","on the table"
"brown","mosquito"
"brown","you don't have a mosquito bite back there"
"brown","don't hit your head on the bicycle"
"brown","yes that is a man"
"brown","do you know the man's name"
"brown","yes what's the man's name driving the busy bulldozer"
"brown","yes he's pushing the dirt up"
"brown","what's the man's name"
"brown","this is the man who drives the busy bulldozer"
"brown","what is his name"
"brown","what's his name"
"brown","where did what go"
"brown","you tell me what's happening"
"brown","until he met how many men"
"brown","three men"
"brown","that's one of the men"
"brown","come on pal"
"brown","let's go"
"brown","no don't push Mommy's book"
"brown","no it isn't yours"
"brown","your books are over in your basket"
"brown","is that Doctor Dan"
"brown","is it"
"brown","I didn't think it was"
"brown","why do you call that spaghetti"
"brown","or is that what you're saying"
"brown","Daddy"
"brown","what about Daddy"
"brown","no that's Mr Cromer's suitcase"
"brown","whose suitcase is that"
"brown","no whose suitcase is that"
"brown","whose is this"
"brown","to whom does that belong"
"brown","no that's not Adam's"
"brown","yes that's Daddy's suitcase"
"brown","careful don't be so rough"
"brown","it's not a pocketbook"
"brown","no don't sit on that"
"brown","what kind of car do you have"
"brown","put Miss Munroe's tow truck"
"brown","is that your doggie"
"brown","what's your doggie's name"
"brown","Texaco star"
"brown","that's not a star"
"brown","what about Cliffy"
"brown","bye lion"
"brown","two boots"
"brown","it doesn't belong there"
"brown","okay Adam ride it"
"brown","Adam's doggie"
"brown","take his nose off"
"brown","no you can't take his nose off"
"brown","how will he smell anything"
"brown","no you can't take his nose off either"
"brown","you can't take his nose off"
"brown","no I don't think those two men can"
"brown","no you can't take the lion's nose off"
"brown","doggie take nose off"
"brown","nose off what"
"brown","no you can't take the nose off"
"brown","Adam who take nose off"
"brown","take nose off Donald Duck"
"brown","no"
"brown","take nose off what"
"brown","fire"
"brown","bird"
"brown","no you can't take the nose off the bird either"
"brown","does the bird have a nose"
"brown","that's a donkey"
"brown","and a piggie"
"brown","monkey"
"brown","that's a man and that's a little boy"
"brown","that is a man"
"brown","that's a piggie"
"brown","that's a little baby doggie"
"brown","the baby doggie is a puppy"
"brown","well he does look a little like Pepper"
"brown","it's not the same dog as Pepper"
"brown","what is it doing"
"brown","record going to work"
"brown","yes it is working but what is it going"
"brown","oh no you can't take it off yet"
"brown","it hasn't finished"
"brown","Adam sit down"
"brown","where are you going to sit"
"brown","peekaboo"
"brown","it doesn't have nose"
"brown","where is the nose on the car"
"brown","that's a train"
"brown","the car is on the train"
"brown","who dat"
"brown","car train"
"brown","car train"
"brown","what is that"
"brown","do you have anything in your pocket"
"brown","do you have a penny"
"brown","that's the rug"
"brown","careful don't step on his foot"
"brown","what is that"
"brown","that's part of the broom"
"brown","what is that part of"
"brown","excuse me Ursula part of the broom"
"brown","why don't you put it in the trash"
"brown","yes right there"
"brown","yeah"
"brown","what did you find"
"brown","what is that"
"brown","what else is on there"
"brown","beans and what"
"brown","those aren't beans they're peas"
"brown","what else"
"brown","no"
"brown","Humpty_Dumpty"
"brown","what did Humpty_Dumpty do"
"brown","he sat on the wall"
"brown","all the king's horses and all the king's"
"brown","men"
"brown","could not put"
"brown","Ricky will fix that"
"brown","Lilly"
"brown","oh Lilly will fix it"
"brown","oh Jesus loves me"
"brown","at church"
"brown","we passed two nuns in the grocery store and Adam told his daddy"
"brown","Jesus love me"
"brown","coat"
"brown","you want to go to church"
"brown","you don't go to church today"
"brown","Adam's driving"
"brown","Adam you don't ride your up there"
"brown","not up there either"
"brown","no"
"brown","no"
"brown","no"
"brown","where did Daddy go"
"brown","careful Adam"
"brown","yes that is Daddy"
"brown","no leave that back there"
"brown","that's Ursula's tape recorder"
"brown","Mommy is Ursula's Daddy"
"brown","oh"
"brown","you tell me"
"brown","where did Daddy go"
"brown","what does Daddy do at school"
"brown","is the busy bulldozer at school"
"brown","he can't march"
"brown","no he can't march"
"brown","no"
"brown","Green_jeans"
"brown","yes Mr Green_jeans can march"
"brown","Bambi can't march"
"brown","who"
"brown","oh yes the bear can march"
"brown","yes"
"brown","where's your bumble bee"
"brown","get the bumble bee alright"
"brown","do you think he can drive with that there"
"brown","what's her little boy's name"
"brown","that's your name"
"brown","what's her little boy's name"
"brown","why don't you take Ursula's briefcase over to her"
"brown","you can take it off"
"brown","I doubt it"
"brown","oh is that the marching bear"
"brown","put him to work"
"brown","oh put him on the rug"
"brown","oh no Mr Green_jeans is gone now"
"brown","who is that"
"brown","that's Adam"
"brown","do you see him"
"brown","do you see Ursula too"
"brown","who else do you see"
"brown","do you see your truck too"
"brown","you don't mean ball"
"brown","that's a bat"
"brown","where's the ball"
"brown","outside"
"brown","careful don't spill it"
"brown","don't spill the water on the rug"
"brown","what"
"brown","no"
"brown","he doesn't want any water I don't think"
"brown","ask her if she'd like some"
"brown","ask Mr Cromer if he'd like some water"
"brown","the suitcase wants water"
"brown","no"
"brown","that's not your tummy"
"brown","how many tummies do you have"
"brown","that's the man who wrote the book"
"brown","you tell me"
"brown","what are you doing"
"brown","oh you're wiping it off"
"brown","Adam go to work"
"brown","where does Adam work"
"brown","Adam do you know where you live"
"brown","this is Adam's house but where is it"
"brown","oh Adam's driving"
"brown","who is driving"
"brown","Robbie's driving too"
"brown","what are you doing"
"brown","Hobo's truck"
"brown","did you find it"
"brown","yes"
"brown","where is it"
"brown","where's the other one"
"brown","throw to Daddy"
"brown","Doctor Dan at the circus"
"brown","he has two boots on"
"brown","that's a lion tamer"
"brown","the lady of the elephant"
"brown","what is that"
"brown","that's the doggie"
"brown","who is that"
"brown","yes tattooed man"
"brown","no he's not going to bite the doggie and the doggie's not going to bite him"
"brown","they're all falling down"
"brown","see the bird gets away"
"brown","first he does what"
"brown","no the doggie didn't bite him"
"brown","what's this"
"brown","what is she putting the bandaid on"
"brown","take boots on"
"brown","Adam doesn't have cowboy boots like that"
"brown","do you recognize any of these pictures"
"brown","yeah they all fall down"
"brown","how did he get tattooed"
"brown","who fell down"
"brown","what happened to your head"
"brown","what fell down"
"brown","you beep beep Adam"
"brown","you move some of your toys"
"brown","yes move your bike"
"brown","where's your racket"
"brown","you're welcome"
"brown","that's for you"
"brown","whose book is that"
"brown","Bruno Walter"
"brown","Bruno Walter"
"brown","what does he look like"
"brown","playing the piano"
"brown","they do look like stars"
"brown","what's he doing"
"brown","what's his name"
"brown","what is that"
"brown","what is that"
"brown","what is that"
"brown","no that's no paper"
"brown","what is he doing Adam"
"brown","Adam didn't write that"
"brown","Mr Walter did"
"brown","which one is Mr Walter"
"brown","girl"
"brown","when"
"brown","what is he doing"
"brown","he's conducting"
"brown","he's in there"
"brown","you going to give back to Ursula now"
"brown","you'll give it to whom"
"brown","what are you doing Adam"
"brown","Adam's not funny"
"brown","where did Daddy go"
"brown","Daddy Cromer"
"brown","no that's not Cromer's Daddy"
"brown","no Mommy's not Cromer's Mommy either"
"brown","Adam Cromer"
"brown","whose coat is that"
"brown","what are you going to do with the pencil"
"brown","how do you know tha your pencil"
"brown","yes it's turned on"
"brown","what are you talking about"
"brown","what is that"
"brown","you tell me what is that"
"brown","Adam's pencil"
"brown","is that a pencil"
"brown","you want some paper"
"brown","what"
"brown","sure"
"brown","where did you get that"
"brown","sure"
"brown","do you know how old you are"
"brown","two boy"
"brown","what"
"brown","see the racket"
"brown","the racket isn't up there"
"brown","oh you see that"
"brown","where is it"
"brown","Mommy's pillows"
"brown","well I don't want my pillows on the floor"
"brown","oh they're Adam's pillows"
"brown","I don't think Daddy wants his pillows on the floor either"
"brown","put together again"
"brown","with a needle and some thread maybe we can put it back together"
"brown","thread"
"brown","did you ask him to move it"
"brown","are you pulling your dog"
"brown","is the doggie broken"
"brown","that's no lion"
"brown","well that's the right way"
"brown","you can't do that honey"
"brown","what are you Adam"
"brown","busy bulldozer"
"brown","Adam did you pick up the pillows"
"brown","what's so funny"
"brown","did you think that was funny"
"brown","don't ride the roadgrader up there"
"brown","that's right"
"brown","it's not a big hill"
"brown","where is your pencil"
"brown","no this is mine"
"brown","I have mine"
"brown","no this Mommy's"
"brown","can you read what's on there Adam"
"brown","do you want a piece"
"brown","doctor Dan"
"brown","who is that"
"brown","who"
"brown","oh wash hands"
"brown","where"
"brown","what is that"
"brown","what is that"
"brown","what is that"
"brown","this"
"brown","why don't you show it to Ursula"
"brown","yes Donald_Duck"
"brown","who is it"
"brown","show it to Ursula"
"brown","Bambi"
"brown","is that Bambi"
"brown","what did you say then Adam"
"brown","why is he like Perro"
"brown","is there a bunny there"
"brown","Adam what"
"brown","wet your pants"
"brown","can you say you're sorry"
"brown","where's the kitchen"
"brown","where's the kitchen"
"brown","is that the kitchen"
"brown","you go get it"
"brown","Adam is that a ball"
"brown","what kind of car broke"
"brown","oh take my hand out"
"brown","are you as tall as Mommy"
"brown","get the hand out"
"brown","what's this"
"brown","that's not Donald Duck"
"brown","what is that"
"brown","that's an egg"
"brown","look at the chicken coming out"
"brown","hello Chatter"
"brown","oh no you can't take that out of his hand"
"brown","you're eating Chatter's what"
"brown","what did you bite"
"brown","wipe it off"
"brown","was it good"
"brown","it doesn't go in your mouth does it"
"brown","in whose mouth does it go"
"brown","no not Mommy's mouth"
"brown","not Adam's mouth"
"brown","bite whose mouth"
"brown","no"
"brown","no"
"brown","no"
"brown","does the tape recorder have a mouth"
"brown","where is it"
"brown","what's the matter"
"brown","is that hot"
"brown","who dat"
"brown","where"
"brown","what"
"brown","ready"
"brown","ready for what"
"brown","careful the microphone"
"brown","Daddy's desk"
"brown","what hurts"
"brown","whose tummy hurts"
"brown","oh your tummy hurts"
"brown","if you put the tractor on your book won't you tear it up"
"brown","no you won't tear the book up"
"brown","mosquito"
"brown","that's not a choo train"
"brown","what is that"
"brown","that's a block"
"brown","what color is the block"
"brown","purple red green"
"brown","what color is the hammer"
"brown","Bambi's green"
"brown","what's Bambi doing"
"brown","poor Bambi"
"brown","did you hurt your head when you feel"
"brown","did he hurt his head"
"brown","up in the sky"
"brown","you go get it"
"brown","you get it"
"brown","where did what go"
"brown","the light"
"brown","what"
"brown","where did the glove go"
"brown","how can you use the glove and the racket at the same time"
"brown","alright be careful"
"brown","oh you lost your shoe"
"brown","what did you hit"
"brown","you knocked Bambi off"
"brown","Bambi"
"brown","call Daddy"
"brown","Daddy"
"brown","Daddy's not home"
"brown","Daddy's not home"
"brown","home"
"brown","Daddy's not home"
"brown","home"
"brown","Mommy's home"
"brown","Adam is home"
"brown","Bambi is home"
"brown","Cromer's at your home"
"brown","Joshua's at his home"
"brown","Kenny's at his home"
"brown","doggie's home"
"brown","who"
"brown","ball is home"
"brown","Perro is home"
"brown","yes man driving tractor over there"
"brown","yes he's home"
"brown","home"
"brown","yes tractor is home"
"brown","yes busy bulldozer is home"
"brown","Adam is home"
"brown","dirt is home"
"brown","oh yes"
"brown","bike is home"
"brown","yes"
"brown","Ricky's at his home"
"brown","yes"
"brown","Susy is at her home"
"brown","who"
"brown","where is your pencil"
"brown","what is that"
"brown","what's in his mouth"
"brown","tongue"
"brown","yeah"
"brown","yes that's an eye"
"brown","how many eyes"
"brown","two ears"
"brown","two eyes"
"brown","yes that is a bell"
"brown","yes that bell is home"
"brown","Ursula's at your home"
"brown","tape recorder's at your home"
"brown","who"
"brown","Adam or"
"brown","door"
"brown","Doctor Dan at the Circus"
"brown","don't you think you should pick it up and put it in the basket"
"brown","make Cromer do it"
"brown","you pick doc Dan up yourself"
"brown","why don't you show him the tattooed man"
"brown","what is that"
"brown","part of an apple"
"brown","it does look like part of an apple but it's not"
"brown","I think maybe it came from your basket"
"brown","yes I think maybe it's part of the basket"
