"filename","corpus","utterance"
"US/Brown/Adam/adam01.xml","brown","don't pull Mommy"
"US/Brown/Adam/adam01.xml","brown","put pillow on the floor"
"US/Brown/Adam/adam01.xml","brown","you want Mommy to sit on the floor"
"US/Brown/Adam/adam01.xml","brown","you sit floor"
"US/Brown/Adam/adam01.xml","brown","what do you want Mommy to do"
"US/Brown/Adam/adam01.xml","brown","do you want Mommy to stand up"
"US/Brown/Adam/adam01.xml","brown","Mommy stand up"
"US/Brown/Adam/adam01.xml","brown","alright"
"US/Brown/Adam/adam01.xml","brown","Adam what"
"US/Brown/Adam/adam01.xml","brown","what about the chair"
"US/Brown/Adam/adam01.xml","brown","nice pony"
"US/Brown/Adam/adam01.xml","brown","what's your pony's name"
"US/Brown/Adam/adam01.xml","brown","may please"
"US/Brown/Adam/adam01.xml","brown","what do you want that for"
"US/Brown/Adam/adam01.xml","brown","fix kitty"
"US/Brown/Adam/adam01.xml","brown","make mosquito"
"US/Brown/Adam/adam01.xml","brown","fine book"
"US/Brown/Adam/adam01.xml","brown","that's Daddy's filing case"
"US/Brown/Adam/adam01.xml","brown","don't take those out"
"US/Brown/Adam/adam01.xml","brown","leave them in there"
"US/Brown/Adam/adam01.xml","brown","why not"
"US/Brown/Adam/adam01.xml","brown","because they're Daddy's"
"US/Brown/Adam/adam01.xml","brown","what is in there"
"US/Brown/Adam/adam01.xml","brown","oh"
"US/Brown/Adam/adam01.xml","brown","get Adam's bike"
"US/Brown/Adam/adam01.xml","brown","what pillow"
"US/Brown/Adam/adam01.xml","brown","that's a good one to jump on"
"US/Brown/Adam/adam01.xml","brown","which book"
"US/Brown/Adam/adam01.xml","brown","that's not really a boy's book"
"US/Brown/Adam/adam01.xml","brown","see there are no pictures"
"US/Brown/Adam/adam01.xml","brown","what is that"
"US/Brown/Adam/adam01.xml","brown","he sticks to me like"
"US/Brown/Adam/adam01.xml","brown","and scares away"
"US/Brown/Adam/adam01.xml","brown","and surprise me with a shower"
"US/Brown/Adam/adam01.xml","brown","I'm a copy cat just like"
